Timestamp (ms),Oxygen %
3389202, 20.80
3390352, 20.80
3391502, 20.80
3392652, 20.80
3393802, 20.80
3394952, 20.80
3396102, 20.80
3397252, 20.80
3398402, 20.80
3399552, 20.80
3400702, 20.80
3401852, 20.80
3403002, 20.80
3404152, 20.80
3405302, 20.80
3406452, 20.80
3407602, 20.80
3408752, 20.80
3409902, 20.81
3411052, 20.81
3412202, 20.80
3413352, 20.80
3414502, 20.80
3415652, 20.80
3416802, 20.80
3417952, 20.80
3419102, 20.80
3420252, 20.80
3421402, 20.80
3422552, 20.80
3423702, 20.80
3424852, 20.80
3426002, 20.80
3427152, 20.80
3428302, 20.80
3429452, 20.80
3430602, 20.80
3431752, 20.80
3432902, 20.80
3434052, 20.80
3435202, 20.80
3436352, 20.80
3437502, 20.80
3438652, 20.80
3439802, 20.80
3440952, 20.80
3442102, 20.80
3443252, 20.80
3444402, 20.80
3445552, 20.80
3446702, 20.80
3447852, 20.80
3449002, 20.80
3450152, 20.80
3451302, 20.80
3452452, 20.81
3453602, 20.81
3454752, 20.81
3455902, 20.81
3457052, 20.81
3458202, 20.80
3459352, 20.80
3460502, 20.80
3461652, 20.80
3462802, 20.80
3463952, 20.80
3465102, 20.80
3466252, 20.80
3467402, 20.80
3468552, 20.80
3469702, 20.80
3470852, 20.80
3472002, 20.80
3473152, 20.80
3474302, 20.80
3475452, 20.80
3476602, 20.80
3477752, 20.80
3478902, 20.80
3480052, 20.80
3481202, 20.80
3482352, 20.80
3483502, 20.80
3484652, 20.80
3485802, 20.80
3486952, 20.80
3488102, 20.80
3489252, 20.80
3490402, 20.80
3491552, 20.80
3492702, 20.80
3493852, 20.80
3495002, 20.80
3496152, 20.81
3497302, 20.81
3498452, 20.81
3499602, 20.82
3500752, 20.82
3501902, 20.82
3503052, 20.81
3504202, 20.81
3505352, 20.81
3506502, 20.81
3507652, 20.81
3508802, 20.81
3509952, 20.80
3511102, 20.80
3512252, 20.80
3513402, 20.80
3514552, 20.80
3515702, 20.80
3516852, 20.80
3518002, 20.80
3519152, 20.80
3520302, 20.81
3521452, 20.81
3522602, 20.80
3523752, 20.80
3524902, 20.80
3526052, 20.80
3527202, 20.81
3528352, 20.81
3529502, 20.81
3530652, 20.81
3531802, 20.81
3532952, 20.81
3534102, 20.81
3535252, 20.82
3536402, 20.82
3537552, 20.82
3538702, 20.81
3539852, 20.81
3541002, 20.81
3542152, 20.82
3543302, 20.81
3544452, 20.81
3545602, 20.81
3546752, 20.81
3547902, 20.81
3549052, 20.81
3550202, 20.81
3551352, 20.80
3552502, 20.80
3553652, 20.80
3554802, 20.80
3555952, 20.80
3557102, 20.80
3558252, 20.80
3559402, 20.81
